season,gameweek,date,home_norm,away_norm,home_goals,away_goals,home_squad_size,home_available_count,home_injured_count,home_doubtful_count,home_availability_pct,home_avg_chance_of_playing,home_expected_minutes_pct,home_missing_attack_quality,home_available_attack_quality,home_attack_quality_pct,away_squad_size,away_available_count,away_injured_count,away_doubtful_count,away_availability_pct,away_avg_chance_of_playing,away_expected_minutes_pct,away_missing_attack_quality,away_available_attack_quality,away_attack_quality_pct
2023-24,11,2023-11-04,mancity,bournemouth,6.0,1.0,31,24,1,0,77.41935483870968,76.61290322580645,76.61290322580645,0.15,143.79,99.89578991246351,41,27,2,1,65.85365853658537,66.46341463414635,66.46341463414635,9.149999999999999,80.75999999999999,89.82315648982315
2023-24,11,2023-11-04,sheffutd,wolves,2.0,1.0,45,30,3,3,66.66666666666666,69.44444444444444,69.44444444444444,4.359999999999999,55.230000000000004,92.6833361302232,46,29,2,1,63.04347826086957,66.84782608695652,66.84782608695652,15.12,56.580000000000005,78.9121338912134
2023-24,11,2023-11-04,newcastle,arsenal,1.0,0.0,44,25,6,1,56.81818181818182,57.95454545454545,57.95454545454546,22.42,97.17,81.25261309474037,38,29,0,1,76.31578947368422,78.28947368421052,78.28947368421053,26.3,107.58999999999999,80.35700948539845
2023-24,11,2023-11-05,nottmforest,astonvilla,2.0,0.0,56,30,2,0,53.57142857142857,53.57142857142857,53.57142857142857,7.17,68.72,90.55211490314929,44,24,8,1,54.54545454545454,56.25,56.25,23.31,83.00999999999999,78.07562076749436
2023-24,11,2023-11-05,luton,liverpool,1.0,1.0,49,24,7,2,48.97959183673469,50.0,50.0,18.46,53.45,74.32902238909749,42,32,2,1,76.19047619047619,75.5952380952381,75.59523809523809,0.59,145.44,99.5959734301171
2023-24,11,2023-11-06,tottenham,chelsea,1.0,4.0,43,23,8,1,53.48837209302325,55.23255813953488,55.23255813953488,33.2,86.76,72.324108036012,59,36,4,1,61.016949152542374,60.59322033898305,60.59322033898306,18.43,94.09,83.62068965517241
2023-24,12,2023-11-11,wolves,tottenham,2.0,1.0,46,29,2,1,63.04347826086957,66.84782608695652,66.84782608695652,15.12,56.580000000000005,78.9121338912134,43,23,8,1,53.48837209302325,55.23255813953488,55.23255813953488,33.2,86.76,72.324108036012
2023-24,12,2023-11-11,arsenal,burnley,3.0,1.0,38,29,0,1,76.31578947368422,78.28947368421052,78.28947368421053,26.3,107.58999999999999,80.35700948539845,44,25,4,1,56.81818181818182,57.38636363636363,57.38636363636363,7.57,58.690000000000005,88.57530938726231
2023-24,12,2023-11-11,crystalpalace,everton,2.0,3.0,39,27,4,1,69.23076923076923,67.3076923076923,67.3076923076923,3.84,75.4,95.15396264512871,34,24,4,1,70.58823529411765,72.79411764705883,72.79411764705883,11.379999999999999,73.56,86.60230751118438
2023-24,12,2023-11-11,manutd,luton,1.0,0.0,47,28,3,3,59.57446808510638,61.702127659574465,61.702127659574465,8.64,79.75,90.22513859033828,49,24,7,2,48.97959183673469,50.0,50.0,18.46,53.45,74.32902238909749
2023-24,12,2023-11-11,bournemouth,newcastle,2.0,0.0,41,27,2,1,65.85365853658537,66.46341463414635,66.46341463414635,9.149999999999999,80.75999999999999,89.82315648982315,44,25,6,1,56.81818181818182,57.95454545454545,57.95454545454546,22.42,97.17,81.25261309474037
2023-24,12,2023-11-12,astonvilla,fulham,3.0,1.0,44,24,8,1,54.54545454545454,56.25,56.25,23.31,83.00999999999999,78.07562076749436,38,28,1,0,73.68421052631578,71.05263157894737,71.05263157894737,4.12,84.36,95.34358047016275
2023-24,12,2023-11-12,brighton,sheffutd,1.0,1.0,47,28,9,0,59.57446808510638,59.57446808510638,59.57446808510638,33.019999999999996,68.33999999999999,67.42304656669297,45,30,3,3,66.66666666666666,69.44444444444444,69.44444444444444,4.359999999999999,55.230000000000004,92.6833361302232
2023-24,12,2023-11-12,liverpool,brentford,3.0,0.0,42,32,2,1,76.19047619047619,75.5952380952381,75.59523809523809,0.59,145.44,99.5959734301171,44,29,4,2,65.9090909090909,69.31818181818181,69.31818181818183,10.11,91.41,90.04137115839244
2023-24,12,2023-11-12,westham,nottmforest,3.0,2.0,34,25,0,1,73.52941176470588,69.11764705882354,69.11764705882352,5.11,78.72,93.90433019205535,56,30,2,0,53.57142857142857,53.57142857142857,53.57142857142857,7.17,68.72,90.55211490314929
2023-24,12,2023-11-12,chelsea,mancity,4.0,4.0,59,36,4,1,61.016949152542374,60.59322033898305,60.59322033898306,18.43,94.09,83.62068965517241,31,24,1,0,77.41935483870968,76.61290322580645,76.61290322580645,0.15,143.79,99.89578991246351
2023-24,13,2023-11-25,mancity,liverpool,1.0,1.0,31,24,1,0,77.41935483870968,76.61290322580645,76.61290322580645,0.15,143.79,99.89578991246351,42,32,2,1,76.19047619047619,75.5952380952381,75.59523809523809,0.59,145.44,99.5959734301171
2023-24,13,2023-11-25,burnley,westham,1.0,2.0,44,25,4,1,56.81818181818182,57.38636363636363,57.38636363636363,7.57,58.690000000000005,88.57530938726231,34,25,0,1,73.52941176470588,69.11764705882354,69.11764705882352,5.11,78.72,93.90433019205535
2023-24,13,2023-11-25,luton,crystalpalace,2.0,1.0,49,24,7,2,48.97959183673469,50.0,50.0,18.46,53.45,74.32902238909749,39,27,4,1,69.23076923076923,67.3076923076923,67.3076923076923,3.84,75.4,95.15396264512871
2023-24,13,2023-11-25,newcastle,chelsea,4.0,1.0,44,25,6,1,56.81818181818182,57.95454545454545,57.95454545454546,22.42,97.17,81.25261309474037,59,36,4,1,61.016949152542374,60.59322033898305,60.59322033898306,18.43,94.09,83.62068965517241
2023-24,13,2023-11-25,nottmforest,brighton,2.0,3.0,56,30,2,0,53.57142857142857,53.57142857142857,53.57142857142857,7.17,68.72,90.55211490314929,47,28,9,0,59.57446808510638,59.57446808510638,59.57446808510638,33.019999999999996,68.33999999999999,67.42304656669297
2023-24,13,2023-11-25,sheffutd,bournemouth,1.0,3.0,45,30,3,3,66.66666666666666,69.44444444444444,69.44444444444444,4.359999999999999,55.230000000000004,92.6833361302232,41,27,2,1,65.85365853658537,66.46341463414635,66.46341463414635,9.149999999999999,80.75999999999999,89.82315648982315
2023-24,13,2023-11-25,brentford,arsenal,0.0,1.0,44,29,4,2,65.9090909090909,69.31818181818181,69.31818181818183,10.11,91.41,90.04137115839244,38,29,0,1,76.31578947368422,78.28947368421052,78.28947368421053,26.3,107.58999999999999,80.35700948539845
2023-24,13,2023-11-26,tottenham,astonvilla,1.0,2.0,43,23,8,1,53.48837209302325,55.23255813953488,55.23255813953488,33.2,86.76,72.324108036012,44,24,8,1,54.54545454545454,56.25,56.25,23.31,83.00999999999999,78.07562076749436
2023-24,13,2023-11-26,everton,manutd,0.0,3.0,34,24,4,1,70.58823529411765,72.79411764705883,72.79411764705883,11.379999999999999,73.56,86.60230751118438,47,28,3,3,59.57446808510638,61.702127659574465,61.702127659574465,8.64,79.75,90.22513859033828
2023-24,13,2023-11-27,fulham,wolves,3.0,2.0,38,28,1,0,73.68421052631578,71.05263157894737,71.05263157894737,4.12,84.36,95.34358047016275,46,29,2,1,63.04347826086957,66.84782608695652,66.84782608695652,15.12,56.580000000000005,78.9121338912134
2023-24,14,2023-12-02,arsenal,wolves,2.0,1.0,38,29,0,1,76.31578947368422,78.28947368421052,78.28947368421053,26.3,107.58999999999999,80.35700948539845,46,29,2,1,63.04347826086957,66.84782608695652,66.84782608695652,15.12,56.580000000000005,78.9121338912134
2023-24,14,2023-12-02,brentford,luton,3.0,1.0,44,29,4,2,65.9090909090909,69.31818181818181,69.31818181818183,10.11,91.41,90.04137115839244,49,24,7,2,48.97959183673469,50.0,50.0,18.46,53.45,74.32902238909749
2023-24,14,2023-12-02,burnley,sheffutd,5.0,0.0,44,25,4,1,56.81818181818182,57.38636363636363,57.38636363636363,7.57,58.690000000000005,88.57530938726231,45,30,3,3,66.66666666666666,69.44444444444444,69.44444444444444,4.359999999999999,55.230000000000004,92.6833361302232
2023-24,14,2023-12-02,nottmforest,everton,0.0,1.0,56,30,2,0,53.57142857142857,53.57142857142857,53.57142857142857,7.17,68.72,90.55211490314929,34,24,4,1,70.58823529411765,72.79411764705883,72.79411764705883,11.379999999999999,73.56,86.60230751118438
2023-24,14,2023-12-02,newcastle,manutd,1.0,0.0,44,25,6,1,56.81818181818182,57.95454545454545,57.95454545454546,22.42,97.17,81.25261309474037,47,28,3,3,59.57446808510638,61.702127659574465,61.702127659574465,8.64,79.75,90.22513859033828
2023-24,14,2023-12-03,bournemouth,astonvilla,2.0,2.0,41,27,2,1,65.85365853658537,66.46341463414635,66.46341463414635,9.149999999999999,80.75999999999999,89.82315648982315,44,24,8,1,54.54545454545454,56.25,56.25,23.31,83.00999999999999,78.07562076749436
2023-24,14,2023-12-03,chelsea,brighton,3.0,2.0,59,36,4,1,61.016949152542374,60.59322033898305,60.59322033898306,18.43,94.09,83.62068965517241,47,28,9,0,59.57446808510638,59.57446808510638,59.57446808510638,33.019999999999996,68.33999999999999,67.42304656669297
2023-24,14,2023-12-03,liverpool,fulham,4.0,3.0,42,32,2,1,76.19047619047619,75.5952380952381,75.59523809523809,0.59,145.44,99.5959734301171,38,28,1,0,73.68421052631578,71.05263157894737,71.05263157894737,4.12,84.36,95.34358047016275
2023-24,14,2023-12-03,westham,crystalpalace,1.0,1.0,34,25,0,1,73.52941176470588,69.11764705882354,69.11764705882352,5.11,78.72,93.90433019205535,39,27,4,1,69.23076923076923,67.3076923076923,67.3076923076923,3.84,75.4,95.15396264512871
2023-24,14,2023-12-03,mancity,tottenham,3.0,3.0,31,24,1,0,77.41935483870968,76.61290322580645,76.61290322580645,0.15,143.79,99.89578991246351,43,23,8,1,53.48837209302325,55.23255813953488,55.23255813953488,33.2,86.76,72.324108036012
2023-24,15,2023-12-05,wolves,burnley,1.0,0.0,46,29,2,1,63.04347826086957,66.84782608695652,66.84782608695652,15.12,56.580000000000005,78.9121338912134,44,25,4,1,56.81818181818182,57.38636363636363,57.38636363636363,7.57,58.690000000000005,88.57530938726231
2023-24,15,2023-12-05,luton,arsenal,3.0,4.0,49,24,7,2,48.97959183673469,50.0,50.0,18.46,53.45,74.32902238909749,38,29,0,1,76.31578947368422,78.28947368421052,78.28947368421053,26.3,107.58999999999999,80.35700948539845
2023-24,15,2023-12-06,brighton,brentford,2.0,1.0,47,28,9,0,59.57446808510638,59.57446808510638,59.57446808510638,33.019999999999996,68.33999999999999,67.42304656669297,44,29,4,2,65.9090909090909,69.31818181818181,69.31818181818183,10.11,91.41,90.04137115839244
2023-24,15,2023-12-06,crystalpalace,bournemouth,0.0,2.0,39,27,4,1,69.23076923076923,67.3076923076923,67.3076923076923,3.84,75.4,95.15396264512871,41,27,2,1,65.85365853658537,66.46341463414635,66.46341463414635,9.149999999999999,80.75999999999999,89.82315648982315
2023-24,15,2023-12-06,fulham,nottmforest,5.0,0.0,38,28,1,0,73.68421052631578,71.05263157894737,71.05263157894737,4.12,84.36,95.34358047016275,56,30,2,0,53.57142857142857,53.57142857142857,53.57142857142857,7.17,68.72,90.55211490314929
2023-24,15,2023-12-06,sheffutd,liverpool,0.0,2.0,45,30,3,3,66.66666666666666,69.44444444444444,69.44444444444444,4.359999999999999,55.230000000000004,92.6833361302232,42,32,2,1,76.19047619047619,75.5952380952381,75.59523809523809,0.59,145.44,99.5959734301171
2023-24,15,2023-12-06,astonvilla,mancity,1.0,0.0,44,24,8,1,54.54545454545454,56.25,56.25,23.31,83.00999999999999,78.07562076749436,31,24,1,0,77.41935483870968,76.61290322580645,76.61290322580645,0.15,143.79,99.89578991246351
2023-24,15,2023-12-06,manutd,chelsea,2.0,1.0,47,28,3,3,59.57446808510638,61.702127659574465,61.702127659574465,8.64,79.75,90.22513859033828,59,36,4,1,61.016949152542374,60.59322033898305,60.59322033898306,18.43,94.09,83.62068965517241
2023-24,15,2023-12-07,everton,newcastle,3.0,0.0,34,24,4,1,70.58823529411765,72.79411764705883,72.79411764705883,11.379999999999999,73.56,86.60230751118438,44,25,6,1,56.81818181818182,57.95454545454545,57.95454545454546,22.42,97.17,81.25261309474037
2023-24,15,2023-12-07,tottenham,westham,1.0,2.0,43,23,8,1,53.48837209302325,55.23255813953488,55.23255813953488,33.2,86.76,72.324108036012,34,25,0,1,73.52941176470588,69.11764705882354,69.11764705882352,5.11,78.72,93.90433019205535
2023-24,16,2023-12-09,crystalpalace,liverpool,1.0,2.0,39,27,4,1,69.23076923076923,67.3076923076923,67.3076923076923,3.84,75.4,95.15396264512871,42,32,2,1,76.19047619047619,75.5952380952381,75.59523809523809,0.59,145.44,99.5959734301171
2023-24,16,2023-12-09,brighton,burnley,1.0,1.0,47,28,9,0,59.57446808510638,59.57446808510638,59.57446808510638,33.019999999999996,68.33999999999999,67.42304656669297,44,25,4,1,56.81818181818182,57.38636363636363,57.38636363636363,7.57,58.690000000000005,88.57530938726231
2023-24,16,2023-12-09,manutd,bournemouth,0.0,3.0,47,28,3,3,59.57446808510638,61.702127659574465,61.702127659574465,8.64,79.75,90.22513859033828,41,27,2,1,65.85365853658537,66.46341463414635,66.46341463414635,9.149999999999999,80.75999999999999,89.82315648982315
2023-24,16,2023-12-09,sheffutd,brentford,1.0,0.0,45,30,3,3,66.66666666666666,69.44444444444444,69.44444444444444,4.359999999999999,55.230000000000004,92.6833361302232,44,29,4,2,65.9090909090909,69.31818181818181,69.31818181818183,10.11,91.41,90.04137115839244
2023-24,16,2023-12-09,wolves,nottmforest,1.0,1.0,46,29,2,1,63.04347826086957,66.84782608695652,66.84782608695652,15.12,56.580000000000005,78.9121338912134,56,30,2,0,53.57142857142857,53.57142857142857,53.57142857142857,7.17,68.72,90.55211490314929
2023-24,16,2023-12-09,astonvilla,arsenal,1.0,0.0,44,24,8,1,54.54545454545454,56.25,56.25,23.31,83.00999999999999,78.07562076749436,38,29,0,1,76.31578947368422,78.28947368421052,78.28947368421053,26.3,107.58999999999999,80.35700948539845
2023-24,16,2023-12-10,everton,chelsea,2.0,0.0,34,24,4,1,70.58823529411765,72.79411764705883,72.79411764705883,11.379999999999999,73.56,86.60230751118438,59,36,4,1,61.016949152542374,60.59322033898305,60.59322033898306,18.43,94.09,83.62068965517241
2023-24,16,2023-12-10,fulham,westham,5.0,0.0,38,28,1,0,73.68421052631578,71.05263157894737,71.05263157894737,4.12,84.36,95.34358047016275,34,25,0,1,73.52941176470588,69.11764705882354,69.11764705882352,5.11,78.72,93.90433019205535
2023-24,16,2023-12-10,luton,mancity,1.0,2.0,49,24,7,2,48.97959183673469,50.0,50.0,18.46,53.45,74.32902238909749,31,24,1,0,77.41935483870968,76.61290322580645,76.61290322580645,0.15,143.79,99.89578991246351
2023-24,16,2023-12-10,tottenham,newcastle,4.0,1.0,43,23,8,1,53.48837209302325,55.23255813953488,55.23255813953488,33.2,86.76,72.324108036012,44,25,6,1,56.81818181818182,57.95454545454545,57.95454545454546,22.42,97.17,81.25261309474037
2023-24,17,2023-12-15,nottmforest,tottenham,0.0,2.0,56,30,2,0,53.57142857142857,53.57142857142857,53.57142857142857,7.17,68.72,90.55211490314929,43,23,8,1,53.48837209302325,55.23255813953488,55.23255813953488,33.2,86.76,72.324108036012
2023-24,17,2023-12-16,chelsea,sheffutd,2.0,0.0,59,36,4,1,61.016949152542374,60.59322033898305,60.59322033898306,18.43,94.09,83.62068965517241,45,30,3,3,66.66666666666666,69.44444444444444,69.44444444444444,4.359999999999999,55.230000000000004,92.6833361302232
2023-24,17,2023-12-16,mancity,crystalpalace,2.0,2.0,31,24,1,0,77.41935483870968,76.61290322580645,76.61290322580645,0.15,143.79,99.89578991246351,39,27,4,1,69.23076923076923,67.3076923076923,67.3076923076923,3.84,75.4,95.15396264512871
2023-24,17,2023-12-16,newcastle,fulham,3.0,0.0,44,25,6,1,56.81818181818182,57.95454545454545,57.95454545454546,22.42,97.17,81.25261309474037,38,28,1,0,73.68421052631578,71.05263157894737,71.05263157894737,4.12,84.36,95.34358047016275
2023-24,17,2023-12-16,burnley,everton,0.0,2.0,44,25,4,1,56.81818181818182,57.38636363636363,57.38636363636363,7.57,58.690000000000005,88.57530938726231,34,24,4,1,70.58823529411765,72.79411764705883,72.79411764705883,11.379999999999999,73.56,86.60230751118438
2023-24,17,2023-12-17,arsenal,brighton,2.0,0.0,38,29,0,1,76.31578947368422,78.28947368421052,78.28947368421053,26.3,107.58999999999999,80.35700948539845,47,28,9,0,59.57446808510638,59.57446808510638,59.57446808510638,33.019999999999996,68.33999999999999,67.42304656669297
2023-24,17,2023-12-17,brentford,astonvilla,1.0,2.0,44,29,4,2,65.9090909090909,69.31818181818181,69.31818181818183,10.11,91.41,90.04137115839244,44,24,8,1,54.54545454545454,56.25,56.25,23.31,83.00999999999999,78.07562076749436
2023-24,17,2023-12-17,westham,wolves,3.0,0.0,34,25,0,1,73.52941176470588,69.11764705882354,69.11764705882352,5.11,78.72,93.90433019205535,46,29,2,1,63.04347826086957,66.84782608695652,66.84782608695652,15.12,56.580000000000005,78.9121338912134
2023-24,17,2023-12-17,liverpool,manutd,0.0,0.0,42,32,2,1,76.19047619047619,75.5952380952381,75.59523809523809,0.59,145.44,99.5959734301171,47,28,3,3,59.57446808510638,61.702127659574465,61.702127659574465,8.64,79.75,90.22513859033828
2023-24,18,2023-12-21,crystalpalace,brighton,1.0,1.0,39,27,4,1,69.23076923076923,67.3076923076923,67.3076923076923,3.84,75.4,95.15396264512871,47,28,9,0,59.57446808510638,59.57446808510638,59.57446808510638,33.019999999999996,68.33999999999999,67.42304656669297
2023-24,18,2023-12-22,astonvilla,sheffutd,1.0,1.0,44,24,8,1,54.54545454545454,56.25,56.25,23.31,83.00999999999999,78.07562076749436,45,30,3,3,66.66666666666666,69.44444444444444,69.44444444444444,4.359999999999999,55.230000000000004,92.6833361302232
2023-24,18,2023-12-23,westham,manutd,2.0,0.0,34,25,0,1,73.52941176470588,69.11764705882354,69.11764705882352,5.11,78.72,93.90433019205535,47,28,3,3,59.57446808510638,61.702127659574465,61.702127659574465,8.64,79.75,90.22513859033828
2023-24,18,2023-12-23,fulham,burnley,0.0,2.0,38,28,1,0,73.68421052631578,71.05263157894737,71.05263157894737,4.12,84.36,95.34358047016275,44,25,4,1,56.81818181818182,57.38636363636363,57.38636363636363,7.57,58.690000000000005,88.57530938726231
2023-24,18,2023-12-23,luton,newcastle,1.0,0.0,49,24,7,2,48.97959183673469,50.0,50.0,18.46,53.45,74.32902238909749,44,25,6,1,56.81818181818182,57.95454545454545,57.95454545454546,22.42,97.17,81.25261309474037
2023-24,18,2023-12-23,nottmforest,bournemouth,2.0,3.0,56,30,2,0,53.57142857142857,53.57142857142857,53.57142857142857,7.17,68.72,90.55211490314929,41,27,2,1,65.85365853658537,66.46341463414635,66.46341463414635,9.149999999999999,80.75999999999999,89.82315648982315
2023-24,18,2023-12-23,tottenham,everton,2.0,1.0,43,23,8,1,53.48837209302325,55.23255813953488,55.23255813953488,33.2,86.76,72.324108036012,34,24,4,1,70.58823529411765,72.79411764705883,72.79411764705883,11.379999999999999,73.56,86.60230751118438
2023-24,18,2023-12-23,liverpool,arsenal,1.0,1.0,42,32,2,1,76.19047619047619,75.5952380952381,75.59523809523809,0.59,145.44,99.5959734301171,38,29,0,1,76.31578947368422,78.28947368421052,78.28947368421053,26.3,107.58999999999999,80.35700948539845
2023-24,18,2023-12-24,wolves,chelsea,2.0,1.0,46,29,2,1,63.04347826086957,66.84782608695652,66.84782608695652,15.12,56.580000000000005,78.9121338912134,59,36,4,1,61.016949152542374,60.59322033898305,60.59322033898306,18.43,94.09,83.62068965517241
2023-24,19,2023-12-26,newcastle,nottmforest,1.0,3.0,44,25,6,1,56.81818181818182,57.95454545454545,57.95454545454546,22.42,97.17,81.25261309474037,56,30,2,0,53.57142857142857,53.57142857142857,53.57142857142857,7.17,68.72,90.55211490314929
2023-24,19,2023-12-26,bournemouth,fulham,3.0,0.0,41,27,2,1,65.85365853658537,66.46341463414635,66.46341463414635,9.149999999999999,80.75999999999999,89.82315648982315,38,28,1,0,73.68421052631578,71.05263157894737,71.05263157894737,4.12,84.36,95.34358047016275
2023-24,19,2023-12-26,sheffutd,luton,2.0,3.0,45,30,3,3,66.66666666666666,69.44444444444444,69.44444444444444,4.359999999999999,55.230000000000004,92.6833361302232,49,24,7,2,48.97959183673469,50.0,50.0,18.46,53.45,74.32902238909749
2023-24,19,2023-12-26,burnley,liverpool,0.0,2.0,44,25,4,1,56.81818181818182,57.38636363636363,57.38636363636363,7.57,58.690000000000005,88.57530938726231,42,32,2,1,76.19047619047619,75.5952380952381,75.59523809523809,0.59,145.44,99.5959734301171
2023-24,19,2023-12-26,manutd,astonvilla,3.0,2.0,47,28,3,3,59.57446808510638,61.702127659574465,61.702127659574465,8.64,79.75,90.22513859033828,44,24,8,1,54.54545454545454,56.25,56.25,23.31,83.00999999999999,78.07562076749436
